Year,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+
1976,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1977,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1978,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1979,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1980,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1981,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1982,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1983,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1984,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1985,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1986,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1987,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1988,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1989,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1990,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1991,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1992,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1993,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1994,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1995,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1996,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1997,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1998,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
1999,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2000,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2001,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2002,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2003,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2004,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2005,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2006,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2007,0.631413,0.631413,0.631413,0.631413,0.631413,0.631413
2008,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2009,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2010,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2011,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2012,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2013,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2014,0.774297,0.774297,0.774297,0.774297,0.774297,0.774297
2015,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2016,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2017,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2018,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2019,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2020,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
2021,0.682257,0.682257,0.682257,0.682257,0.682257,0.682257
