Year,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+
1976,73,100,116,129,137,160
1977,83,106,134,146,156,158
1978,85,109,130,164,177,194
1979,70,84,97,116,131,161
1980,65,84,97,116,153,169
1981,56,90,121,131,136,174.5
1982,75,87,114,128,149,174.5
1983,88,113,121,145,163,180
1984,74,100,131,159,173,182
1985,64,97,121,154,183,183
1986,80,94,121,139,177,185
1987,67,88,108,134,152,177
1988,65,77,99,122,140,163
1989,54,67,87,114,129,160
1990,74,86,105,113,127,158
1991,58,72,101,111.5,122,137
1992,69,83,95,106.8,118.5,144
1993,64.4,80.75,93.9072,101.143,115,136.818
1994,69.25,87.7778,115.468,127.96,137.6,151.333
1995,99.9615,106.037,129.867,156.591,164.859,176.214
1996,77.5267,102.637,117.829,141.222,157.185,165.907
1997,85.9628,103.879,137.12,146.261,167.713,178.992
1998,85.2276,114.409,123.595,152.793,162.336,185.262
1999,94,106.976,127.629,141.625,163.136,179.389
2000,82.3314,106.304,128.815,152.887,163.788,180.375
2001,89.032,114.018,136.133,157.088,165.464,173.687
2002,80.584,114.964,135.63,159.279,177.462,193.851
2003,90.944,110.394,140.106,158.501,180.256,184.151
2004,84.064,112.285,126.715,153.742,170.896,194.633
2005,90.609,112.614,135.482,145.556,163.296,193.562
2006,91.903,112.172,125.496,155.08,158.876,185.081
2007,86.427,120.793,142.611,161.227,176.591,194.793
2008,79.7255,122.795,147.914,166.127,181.626,205.26
2009,73.024,124.797,153.217,171.027,186.661,215.727
2010,78.3639,101.733,144.11,165.499,187.915,209.31
2011,86.814,115.611,133.604,163.853,181.953,207.373
2012,79.957,106.484,125.482,141.22,163.454,178.714
2013,78.8627,117.523,148.717,176.416,195.061,210.704
2014,70.9667,109.375,151.129,174.498,191.549,216.939
2015,79.9714,104.922,129.172,157.254,170.132,198.064
2016,64.24,94.93,104.16,132.49,148.59,178.47
2017,77.2161,88.2364,117.103,124.821,137.09,174.627
2018,80.4611,95.8579,100.848,126.76,151.4,155.214
2019,78.8386,92.0471,108.975,125.791,144.245,164.921
2020,78.8386,92.0471,108.975,125.791,144.245,164.921
2021,67.3608,92.2406,111.447,136.1,154.68,142.25
